shape,nematode1,nematode2,p_value
coccus,Acrobeles sp.,PC,0.428571429
coccus,Stegelletina,PC,0.188711212
coccus,Cervidellus,PC,0.404449183
coccus,Acrobeloides,PC,0.404449183
coccus,A. emmatus,PC,0.188711212
coccus,Mesorhabditis,PC,0.188711212
coccus,A. mariannae,PC,0.199741559
coccus,Stegelleta,PC,0.188711212
coccus,Acrobeles sp.,Acrobeles sp.,NA
coccus,Stegelletina,Acrobeles sp.,1
coccus,Cervidellus,Acrobeles sp.,1
coccus,Acrobeloides,Acrobeles sp.,1
coccus,A. emmatus,Acrobeles sp.,1
coccus,Mesorhabditis,Acrobeles sp.,1
coccus,A. mariannae,Acrobeles sp.,1
coccus,Stegelleta,Acrobeles sp.,1
coccus,Acrobeles sp.,Stegelletina,NA
coccus,Stegelletina,Stegelletina,NA
coccus,Cervidellus,Stegelletina,1
coccus,Acrobeloides,Stegelletina,1
coccus,A. emmatus,Stegelletina,1
coccus,Mesorhabditis,Stegelletina,0.83971946
coccus,A. mariannae,Stegelletina,1
coccus,Stegelleta,Stegelletina,1
coccus,Acrobeles sp.,Cervidellus,NA
coccus,Stegelletina,Cervidellus,NA
coccus,Cervidellus,Cervidellus,NA
coccus,Acrobeloides,Cervidellus,1
coccus,A. emmatus,Cervidellus,1
coccus,Mesorhabditis,Cervidellus,0.83971946
coccus,A. mariannae,Cervidellus,1
coccus,Stegelleta,Cervidellus,1
coccus,Acrobeles sp.,Acrobeloides,NA
coccus,Stegelletina,Acrobeloides,NA
coccus,Cervidellus,Acrobeloides,NA
coccus,Acrobeloides,Acrobeloides,NA
coccus,A. emmatus,Acrobeloides,1
coccus,Mesorhabditis,Acrobeloides,1
coccus,A. mariannae,Acrobeloides,1
coccus,Stegelleta,Acrobeloides,1
coccus,Acrobeles sp.,A. emmatus,NA
coccus,Stegelletina,A. emmatus,NA
coccus,Cervidellus,A. emmatus,NA
coccus,Acrobeloides,A. emmatus,NA
coccus,A. emmatus,A. emmatus,NA
coccus,Mesorhabditis,A. emmatus,0.751132957
coccus,A. mariannae,A. emmatus,1
coccus,Stegelleta,A. emmatus,1
coccus,Acrobeles sp.,Mesorhabditis,NA
coccus,Stegelletina,Mesorhabditis,NA
coccus,Cervidellus,Mesorhabditis,NA
coccus,Acrobeloides,Mesorhabditis,NA
coccus,A. emmatus,Mesorhabditis,NA
coccus,Mesorhabditis,Mesorhabditis,NA
coccus,A. mariannae,Mesorhabditis,0.751132957
coccus,Stegelleta,Mesorhabditis,1
coccus,Acrobeles sp.,A. mariannae,NA
coccus,Stegelletina,A. mariannae,NA
coccus,Cervidellus,A. mariannae,NA
coccus,Acrobeloides,A. mariannae,NA
coccus,A. emmatus,A. mariannae,NA
coccus,Mesorhabditis,A. mariannae,NA
coccus,A. mariannae,A. mariannae,NA
coccus,Stegelleta,A. mariannae,1
