size.class,nematode1,nematode2,p_value,signif
1,A. mariannae,A. emmatus,0.776281873,
1,Acrobeles sp.,A. emmatus,0.652087402,
1,Acrobeloides,A. emmatus,0.651131723,
1,Cervidellus,A. emmatus,0.652087402,
1,Mesorhabditis,A. emmatus,0.689309618,
1,PC,A. emmatus,0.443438945,
1,Stegelleta,A. emmatus,0.809243935,
1,Stegelletina,A. emmatus,0.809243935,
1,A. mariannae,A. mariannae,NA,
1,Acrobeles sp.,A. mariannae,0.763262822,
1,Acrobeloides,A. mariannae,0.689309618,
1,Cervidellus,A. mariannae,0.763262822,
1,Mesorhabditis,A. mariannae,0.871362131,
1,PC,A. mariannae,0.443438945,
1,Stegelleta,A. mariannae,0.88185502,
1,Stegelletina,A. mariannae,0.88185502,
1,A. mariannae,Acrobeles sp.,NA,
1,Acrobeles sp.,Acrobeles sp.,NA,
1,Acrobeloides,Acrobeles sp.,NA,
1,Cervidellus,Acrobeles sp.,NA,
1,Mesorhabditis,Acrobeles sp.,0.823490659,
1,PC,Acrobeles sp.,0.651131723,
1,Stegelleta,Acrobeles sp.,0.652087402,
1,Stegelletina,Acrobeles sp.,0.652087402,
1,A. mariannae,Acrobeloides,NA,
1,Acrobeles sp.,Acrobeloides,NA,
1,Acrobeloides,Acrobeloides,NA,
1,Cervidellus,Acrobeloides,NA,
1,Mesorhabditis,Acrobeloides,0.775091435,
1,PC,Acrobeloides,0.443438945,
1,Stegelleta,Acrobeloides,0.651131723,
1,Stegelletina,Acrobeloides,0.651131723,
1,A. mariannae,Cervidellus,NA,
1,Acrobeles sp.,Cervidellus,NA,
1,Acrobeloides,Cervidellus,NA,
1,Cervidellus,Cervidellus,NA,
1,Mesorhabditis,Cervidellus,0.823490659,
1,PC,Cervidellus,0.651131723,
1,Stegelleta,Cervidellus,0.652087402,
1,Stegelletina,Cervidellus,0.652087402,
1,A. mariannae,Mesorhabditis,NA,
1,Acrobeles sp.,Mesorhabditis,NA,
1,Acrobeloides,Mesorhabditis,NA,
1,Cervidellus,Mesorhabditis,NA,
1,Mesorhabditis,Mesorhabditis,NA,
1,PC,Mesorhabditis,0.443438945,
1,Stegelleta,Mesorhabditis,0.763262822,
1,Stegelletina,Mesorhabditis,0.763262822,
1,A. mariannae,PC,NA,
1,Acrobeles sp.,PC,NA,
1,Acrobeloides,PC,NA,
1,Cervidellus,PC,NA,
1,Mesorhabditis,PC,NA,
1,PC,PC,NA,
1,Stegelleta,PC,0.443438945,
1,Stegelletina,PC,0.443438945,
1,A. mariannae,Stegelleta,NA,
1,Acrobeles sp.,Stegelleta,NA,
1,Acrobeloides,Stegelleta,NA,
1,Cervidellus,Stegelleta,NA,
1,Mesorhabditis,Stegelleta,NA,
1,PC,Stegelleta,NA,
1,Stegelleta,Stegelleta,NA,
1,Stegelletina,Stegelleta,1,
2,A. mariannae,A. emmatus,0.692925682,
2,Acrobeles sp.,A. emmatus,0.183673469,
2,Acrobeloides,A. emmatus,0.349231389,
2,Cervidellus,A. emmatus,0.731997466,
2,Mesorhabditis,A. emmatus,0.748095749,
2,PC,A. emmatus,0.066670503,
2,Stegelleta,A. emmatus,0.446783542,
2,Stegelletina,A. emmatus,0.446783542,
2,A. mariannae,A. mariannae,NA,
2,Acrobeles sp.,A. mariannae,0.192097448,
2,Acrobeloides,A. mariannae,0.931446357,
2,Cervidellus,A. mariannae,1,
2,Mesorhabditis,A. mariannae,0.472654418,
2,PC,A. mariannae,0.066670503,
2,Stegelleta,A. mariannae,1,
2,Stegelletina,A. mariannae,1,
2,A. mariannae,Acrobeles sp.,NA,
2,Acrobeles sp.,Acrobeles sp.,NA,
2,Acrobeloides,Acrobeles sp.,0.4,
2,Cervidellus,Acrobeles sp.,0.52173913,
2,Mesorhabditis,Acrobeles sp.,0.192097448,
2,PC,Acrobeles sp.,0.263736264,
2,Stegelleta,Acrobeles sp.,0.192097448,
2,Stegelletina,Acrobeles sp.,0.192097448,
2,A. mariannae,Acrobeloides,NA,
2,Acrobeles sp.,Acrobeloides,NA,
2,Acrobeloides,Acrobeloides,NA,
2,Cervidellus,Acrobeloides,0.931446357,
2,Mesorhabditis,Acrobeloides,0.315629183,
2,PC,Acrobeloides,0.183673469,
2,Stegelleta,Acrobeloides,0.872801099,
