"","Acrobeles_emmatus_MB04","Acrobeles_emmatus_MB05","Acrobeles_emmatus_MB06","Acrobeles_emmatus_MB07","Acrobeles_emmatus_MB20","Acrobeles_emmatus_MB36","Acrobeles_mariannae_MB02","Acrobeles_mariannae_MB11","Acrobeles_mariannae_MB12","Acrobeles_mariannae_MB19","Acrobeles_mariannae_MB35","Acrobeles_mariannae_MB37","Acrobeles_sp._MB22","Acrobeles_sp_MB10","Acrobeles_sp_MB33","Acrobeloides_sp_MB26","Acrobeloides_sp_MB39","Acrobeloides_sp_MB40","Cervidellus_sp_MB03","Cervidellus_sp_MB24","Mesorhabditis_sp_MB16","Mesorhabditis_sp_MB17","Mesorhabditis_sp_MB18","Mesorhabditis_sp_MB27","Mesorhabditis_sp_MB28","PC_sample_A_PC1","PC_sample_E_PC4","PC_sample_F_PC5","PC_sample_G_PC3","PC_sample_M_PC2","Stegelleta_sp_MB01","Stegelleta_sp_MB14","Stegelleta_sp_MB15","Stegelleta_sp_MB31","Stegelleta_sp_MB32","Stegelleta_sp_MB38","Stegelletina_sp_MB09","Stegelletina_sp_MB13","Stegelletina_sp_MB21","Stegelletina_sp_MB29","Stegelletina_sp_MB30","Stegelletina_sp_MB34","total","superkingdom","kingdom","phylum","class","order","family","genus","tax"
"Abditibacterium utsteinense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,"Bacteria","Pseudomonadati","Abditibacteriota","Abditibacteriia","Abditibacteriales","Abditibacteriaceae","Abditibacterium","Bacteria;Pseudomonadati;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium;Abditibacterium utsteinense"
"Abyssicoccus albus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361,"Bacteria","Bacillati","Bacillota","Bacilli","Bacillales","Abyssicoccaceae","Abyssicoccus","Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Abyssicoccaceae;Abyssicoccus;Abyssicoccus albus"
"Gluconacetobacter dulcium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,106,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconacetobacter;Gluconacetobacter dulcium"
"Paeniroseomonas aquatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Paeniroseomonas","Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Paeniroseomonas;Paeniroseomonas aquatica"
"Sulfuricaulis limicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfuricaulis","Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfuricaulis;Sulfuricaulis limicola"
"Alloacidobacterium dinghuense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Alloacidobacterium","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Alloacidobacterium;Alloacidobacterium dinghuense"
"Bryocella elongata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Bryocella","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Bryocella;Bryocella elongata"
"Edaphobacter aggregans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter aggregans"
"Edaphobacter dinghuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter dinghuensis"
"Edaphobacter flagellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter flagellatus"
"Edaphobacter lichenicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Bacteria","Pseudomonadati","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter","Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter;Edaphobacter lichenicola"
