"Art1","Art2","p_value","signif"
"Cervidellus","PC",0.380952380952381,""
"Acrobeles sp.","PC",0.183673469387755,""
"Mesorhabditis","PC",0.0573797737736769,""
"Acrobeloides","PC",0.183673469387755,""
"A. emmatus","PC",0.051948051948052,""
"A. mariannae","PC",0.0573797737736769,""
"Stegelleta","PC",0.051948051948052,""
"Stegelletina","PC",0.051948051948052,""
"Cervidellus","Cervidellus",NA,""
"Acrobeles sp.","Cervidellus",1,""
"Mesorhabditis","Cervidellus",1,""
"Acrobeloides","Cervidellus",1,""
"A. emmatus","Cervidellus",1,""
"A. mariannae","Cervidellus",1,""
"Stegelleta","Cervidellus",0.943237964936207,""
"Stegelletina","Cervidellus",1,""
"Cervidellus","Acrobeles sp.",NA,""
"Acrobeles sp.","Acrobeles sp.",NA,""
"Mesorhabditis","Acrobeles sp.",1,""
"Acrobeloides","Acrobeles sp.",1,""
"A. emmatus","Acrobeles sp.",1,""
"A. mariannae","Acrobeles sp.",1,""
"Stegelleta","Acrobeles sp.",1,""
"Stegelletina","Acrobeles sp.",1,""
"Cervidellus","Mesorhabditis",NA,""
"Acrobeles sp.","Mesorhabditis",NA,""
"Mesorhabditis","Mesorhabditis",NA,""
"Acrobeloides","Mesorhabditis",1,""
"A. emmatus","Mesorhabditis",1,""
"A. mariannae","Mesorhabditis",1,""
"Stegelleta","Mesorhabditis",1,""
"Stegelletina","Mesorhabditis",1,""
"Cervidellus","Acrobeloides",NA,""
"Acrobeles sp.","Acrobeloides",NA,""
"Mesorhabditis","Acrobeloides",NA,""
"Acrobeloides","Acrobeloides",NA,""
"A. emmatus","Acrobeloides",1,""
"A. mariannae","Acrobeloides",1,""
"Stegelleta","Acrobeloides",1,""
"Stegelletina","Acrobeloides",0.701406531874981,""
"Cervidellus","A. emmatus",NA,""
"Acrobeles sp.","A. emmatus",NA,""
"Mesorhabditis","A. emmatus",NA,""
"Acrobeloides","A. emmatus",NA,""
"A. emmatus","A. emmatus",NA,""
"A. mariannae","A. emmatus",1,""
"Stegelleta","A. emmatus",1,""
"Stegelletina","A. emmatus",0.943237964936207,""
"Cervidellus","A. mariannae",NA,""
"Acrobeles sp.","A. mariannae",NA,""
"Mesorhabditis","A. mariannae",NA,""
"Acrobeloides","A. mariannae",NA,""
"A. emmatus","A. mariannae",NA,""
"A. mariannae","A. mariannae",NA,""
"Stegelleta","A. mariannae",1,""
"Stegelletina","A. mariannae",1,""
"Cervidellus","Stegelleta",NA,""
"Acrobeles sp.","Stegelleta",NA,""
"Mesorhabditis","Stegelleta",NA,""
"Acrobeloides","Stegelleta",NA,""
"A. emmatus","Stegelleta",NA,""
"A. mariannae","Stegelleta",NA,""
"Stegelleta","Stegelleta",NA,""
"Stegelletina","Stegelleta",0.244085029018969,""
